Publication,Authors,Publication-link
A risk–return trade‐off or co‐movement? Are food processing firms risk‐averse?,"[<span>Mukherjee, S.</span>, <span>Mukherjee, S.</span>, <span>Parhi, M.</span>, <span>Duan, K.</span>, <span>Usman, A.</span>]",https://pureportal.coventry.ac.uk/en/publications/a-riskreturn-tradeoff-or-comovement-are-food-processing-firms-ris
Competing Institutional Logics and Power Dynamics in Islamic Financial Reporting Standardisation Projects,"[<span>Abras, A.</span>, <span>Jayasinghe, K.</span>]",https://pureportal.coventry.ac.uk/en/publications/competing-institutional-logics-and-power-dynamics-in-islamic-fina
Corporate Political Activity and Bribery in Africa: Do Internet Penetration and Foreign Ownership Matter?,"[<span>Liedong, T.</span>, <span>Aghanya, D.</span>, <span>Jimenez, A.</span>, <span>Rajwani, T.</span>]",https://pureportal.coventry.ac.uk/en/publications/corporate-political-activity-and-bribery-in-africa-do-internet-pe
Does natural resource curse in finance exist in Africa? Evidence from spatial techniques,"[<span>Nurmakhanova, M.</span>, <span>Elheddad, M.</span>, <span>Alfar, A. J. K.</span>, <span>Egbulonu, A.</span>, <span>Abedin, M.</span>]",https://pureportal.coventry.ac.uk/en/publications/does-natural-resource-curse-in-finance-exist-in-africa-evidence-f
Sea surface temperature anomalies and cash holdings: Evidence from fisheries companies,"[<span>Brahmana, R. K.</span>, <span>Kontesa, M.</span>]",https://pureportal.coventry.ac.uk/en/publications/sea-surface-temperature-anomalies-and-cash-holdings-evidence-from
The Causes and Effects of IFRS adoption Speed: Diffusion of Innovation Theory Perspective,"[<span>Elmghaamez, I.</span>]",https://pureportal.coventry.ac.uk/en/publications/the-causes-and-effects-of-ifrs-adoption-speed-diffusion-of-innova
The push for financial inclusion in Africa: Should central banks be wary of political institutional quality and literacy rates?,"[<span>Agoba, A. M.</span>, <span>Sare, Y. A.</span>, <span>Anarfo, E. B.</span>, <span>Tsekpoe, C.</span>]",https://pureportal.coventry.ac.uk/en/publications/the-push-for-financial-inclusion-in-africa-should-central-banks-b
A bibliometric review of the Waqf literature,"[<span>Alshater, M. M.</span>, <span>Hassan, M. K.</span>, <span>Rashid, M.</span>, <span>Hasan, R.</span>]",https://pureportal.coventry.ac.uk/en/publications/a-bibliometric-review-of-the-waqf-literature
Analyzing the determinants of financial management behavior of administrators in Nigerian state-owned enterprises,"[<span>Kayode, O. S.</span>, <span>Sibanda, M.</span>, <span>Olarewaju, O. M.</span>]",https://pureportal.coventry.ac.uk/en/publications/analyzing-the-determinants-of-financial-management-behavior-of-ad
A note on COVID-19 instigated maximum drawdown in Islamic markets versus conventional counterparts,"[<span>Hassan, M. K.</span>, <span>Chowdhury, M. I. H.</span>, <span>Balli, F.</span>, <span>Hasan, R.</span>]",https://pureportal.coventry.ac.uk/en/publications/a-note-on-covid-19-instigated-maximum-drawdown-in-islamic-markets
Bank stock valuation theories: do they explain prices based on theories?,"[<span>Leong, K. Y.</span>, <span>Ariff, M.</span>, <span>Zarei, A.</span>, <span>Bhatti, M. I.</span>]",https://pureportal.coventry.ac.uk/en/publications/bank-stock-valuation-theories-do-they-explain-prices-based-on-the
CEO Duality and Firm Performance: A Systematic Review and Research Agenda,"[<span>Yu, M.</span>]",https://pureportal.coventry.ac.uk/en/publications/ceo-duality-and-firm-performance-a-systematic-review-and-research
CEO tenure and cost of debt,"[<span>Owusu, A.</span>, <span>Kwabi, F.</span>, <span>Ezeani, E.</span>, <span>Owusu-Mensah, R.</span>]",https://pureportal.coventry.ac.uk/en/publications/ceo-tenure-and-cost-of-debt
Cheating Behaviour among OPEC Member-States and Oil Price Fairness and Stability: An Empirical Analysis,"[<span>Ibrahim, M.</span>, <span>Omoteso, K.</span>]",https://pureportal.coventry.ac.uk/en/publications/cheating-behaviour-among-opec-member-states-and-oil-price-fairnes
Clinicians’ informal acquisition of accounting literacy in UK clinical commissioning groups,"[<span>Enombu, J. A.</span>, <span>Adhikari, P.</span>]",https://pureportal.coventry.ac.uk/en/publications/clinicians-informal-acquisition-of-accounting-literacy-in-uk-clin
Corporate Governance and IFSB Standard-4: Evidence from Islamic Banks in Bangladesh,"[<span>Rashid, M. H. U.</span>, <span>Khanam, R.</span>, <span>Ullah, H.</span>]",https://pureportal.coventry.ac.uk/en/publications/corporate-governance-and-ifsb-standard-4-evidence-from-islamic-ba
Corporate Social Responsibility & Firm Efficiency: Evidence from Endogenous Cost Inefficiency Stochastic Frontier Analysis,"[<span>Binh, T. V.</span>, <span>Mulatu, A.</span>, <span>Xu, B.</span>]",https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-amp-firm-efficiency-evidence-from
Corporate Social Responsibility and Financial Performance of Product and Service-Based Firms Listed on London Stock Exchange,"[<span>Elmghaamez, I.</span>, <span>Olarewaju, J.</span>]",https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-and-financial-performance-of-prod
Corruption and bank efficiency: Expanding the ‘sand or grease the wheel hypothesis’ for the Gulf Cooperation Council,"[<span>Hassan, M. K.</span>, <span>Hasan, R.</span>, <span>Miah, M. D.</span>, <span>Ashfaq, M.</span>]",https://pureportal.coventry.ac.uk/en/publications/corruption-and-bank-efficiency-expanding-the-sand-or-grease-the-w
Determinants of Informal Entrepreneurship in Africa,"[<span>Ejiogu, A.</span>, <span>Okechukwu, O.</span>, <span>Ejiogu, C.</span>, <span>Owusu, A.</span>, <span>Adeola, O.</span>]",https://pureportal.coventry.ac.uk/en/publications/determinants-of-informal-entrepreneurship-in-africa
"Diffusion theory, transnational antecedents and International Standards on Auditing adoption around the world","[<span>Elmghaamez, I.</span>, <span>Elmagrhi, M.</span>]",https://pureportal.coventry.ac.uk/en/publications/diffusion-theory-transnational-antecedents-and-international-stan
Dissecting the effect of family business exposure on entrepreneurial implementation intention,"[<span>Onjewu, A-K. E.</span>, <span>Haddoud, M. Y.</span>, <span>Tony-Okeke, U.</span>, <span>Cao, D.</span>, <span>Nowiński, W.</span>]",https://pureportal.coventry.ac.uk/en/publications/dissecting-the-effect-of-family-business-exposure-on-entrepreneur
Does Family ownership matter in dividend payout decision? Evidence from a family-firm dominated country,"[<span>Miah, M. S.</span>, <span>Bhuiyan, M. R. U.</span>]",https://pureportal.coventry.ac.uk/en/publications/does-family-ownership-matter-in-dividend-payout-decision-evidence
Does information seeking moderate the relationship between financial loan inclusion and Fintech P2P lending?,"[<span>Brahmana, R. K.</span>, <span>Kontesa, M.</span>, <span>Yau, J. T. H.</span>]",https://pureportal.coventry.ac.uk/en/publications/does-information-seeking-moderate-the-relationship-between-financ
Does R&D investment drive employment growth? Empirical evidence at industry level from Japan,"[<span>Shah, I. H.</span>, <span>Kollydas, K.</span>, <span>Lee, P. Y.</span>, <span>Malki, I.</span>, <span>Chu, C.</span>]",https://pureportal.coventry.ac.uk/en/publications/does-rampd-investment-drive-employment-growth-empirical-evidence-
Does state ownership affect R&D investments? Evidence from China,"[<span>Azzam, A.</span>, <span>Alhababsah, S.</span>]",https://pureportal.coventry.ac.uk/en/publications/does-state-ownership-affect-rampd-investments-evidence-from-china
Do Female Board Members Influence Corporate Social Responsibility Performance?,"[<span>Oino, I.</span>, <span>Liu, J.</span>]",https://pureportal.coventry.ac.uk/en/publications/do-female-board-members-influence-corporate-social-responsibility
Do non-communicable diseases influence sustainable development in Sub-Saharan Africa? A panel autoregressive distributive lag model approach,"[<span>Kabajulizi, J.</span>, <span>Darko, F. A.</span>]",https://pureportal.coventry.ac.uk/en/publications/do-non-communicable-diseases-influence-sustainable-development-in
Do Tenure and Age of Board Chair Matter for R&D Investment?,"[<span>Azzam, A.</span>, <span>Alhababsah, S.</span>]",https://pureportal.coventry.ac.uk/en/publications/do-tenure-and-age-of-board-chair-matter-for-rampd-investment
Editorial: New developments in corporate governance research,"[<span>Alsaid, L.</span>]",https://pureportal.coventry.ac.uk/en/publications/editorial-new-developments-in-corporate-governance-research
Evaluating the Failure of British Home Stores (BHS): A Case study Using Taffler Z-score Model and SWOT Analysis,"[<span>Elmghaamez, I.</span>, <span>Adhikari Parajuli, M.</span>]",https://pureportal.coventry.ac.uk/en/publications/evaluating-the-failure-of-british-home-stores-bhs-a-case-study-us
Evolution of research in finance over the last two decades – A topographical view,"[<span>Alhenawi, Y.</span>, <span>Hassan, M. K.</span>, <span>Hasan, R.</span>]",https://pureportal.coventry.ac.uk/en/publications/evolution-of-research-in-finance-over-the-last-two-decades-a-topo
Financial contagion effects of major crises in African stock markets,"[<span>Bello, J.</span>, <span>Guo, J.</span>, <span>Newaz, M. K.</span>]",https://pureportal.coventry.ac.uk/en/publications/financial-contagion-effects-of-major-crises-in-african-stock-mark
Financial inclusion – does digital financial literacy matter for women entrepreneurs?,"[<span>Hasan, R.</span>, <span>Ashfaq, M.</span>, <span>Parveen, T.</span>, <span>Gunardi, A.</span>]",https://pureportal.coventry.ac.uk/en/publications/financial-inclusion-does-digital-financial-literacy-matter-for-wo
"FinTech, financial inclusion and income inequality: A quantile regression approach","[<span>Demir, A.</span>, <span>Pesque-Cela, V.</span>, <span>Altunbas, Y.</span>, <span>Murinde, V.</span>]",https://pureportal.coventry.ac.uk/en/publications/fintech-financial-inclusion-and-income-inequality-a-quantile-regr
Foreign Ownership and Productivity in Chinese Newly Listed Firms: The Moderating Roles of Founder’s Human Capital and Social Ties,"[<span>Teng, D.</span>, <span>Li, C.</span>, <span>Tanna, S.</span>]",https://pureportal.coventry.ac.uk/en/publications/foreign-ownership-and-productivity-in-chinese-newly-listed-firms-
Gender Diversity and Financial Statement Fraud,"[<span>Wang, Y.</span>, <span>Yu, M.</span>, <span>Gao, S.</span>]",https://pureportal.coventry.ac.uk/en/publications/gender-diversity-and-financial-statement-fraud
Global momentum: The optimal trading approach,"[<span>Wouassom, A.</span>, <span>Muradoglu, G.</span>, <span>Tsitsianis, N.</span>]",https://pureportal.coventry.ac.uk/en/publications/global-momentum-the-optimal-trading-approach
Harnessing the synergies of independent central banks and human capital for enhanced financial sector development in Africa,"[<span>Agoba, A. M.</span>, <span>Anarfo, E. B.</span>, <span>Awudu Sare, Y.</span>]",https://pureportal.coventry.ac.uk/en/publications/harnessing-the-synergies-of-independent-central-banks-and-human-c
IFRS 8 and the cost of capital in Europe,"[<span>Saleh, A.</span>, <span>Aboud, A.</span>, <span>Eliwa, Y.</span>]",https://pureportal.coventry.ac.uk/en/publications/ifrs-8-and-the-cost-of-capital-in-europe
"Insider trading, gender diversity within the board room, CEO pay gap, and stock price crash risk","[<span>Le, V. P.</span>, <span>Nguyen, A-N.</span>, <span>Gregoriou, A.</span>]",https://pureportal.coventry.ac.uk/en/publications/insider-trading-gender-diversity-within-the-board-room-ceo-pay-ga
Interbank liquidity risk transmission to large emerging markets in crisis periods,"[<span>Sifat, I.</span>, <span>Zarei, A.</span>, <span>Hosseini, M.</span>, <span>Bouri, E.</span>]",https://pureportal.coventry.ac.uk/en/publications/interbank-liquidity-risk-transmission-to-large-emerging-markets-i
Is there a trade-off between accrual-based and real earnings management activities in the presence of (fe) male auditors?,"[<span>Owusu, A.</span>, <span>Zalata, A.</span>, <span>Omoteso, K.</span>, <span>Elamer, A.</span>]",https://pureportal.coventry.ac.uk/en/publications/is-there-a-trade-off-between-accrual-based-and-real-earnings-mana
Kuala Lumpur - from a tin mining settlement to a neoliberal stronghold of Southeast Asia,"[<span>Kozlowski, M.</span>, <span>Huston, S.</span>]",https://pureportal.coventry.ac.uk/en/publications/kuala-lumpur-from-a-tin-mining-settlement-to-a-neoliberal-strongh
Measuring the impact of corporate governance on non-financial reporting in the top HEIs worldwide,"[<span>Adhikari Parajuli, M.</span>, <span>Chhatbar, M.</span>, <span>Hassan, A.</span>]",https://pureportal.coventry.ac.uk/en/publications/measuring-the-impact-of-corporate-governance-on-non-financial-rep
